time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2
39888.309593,363.853,42.016,500.937,12.0098,7106267734.64483,60060.15458383263,0.0,0.0
39890.400481,364.705,42.0133,500.969,12.0086,7106267722.345495,60123.20095868002,0.0,0.0
39892.512053,362.557,42.0139,500.983,12.0082,7106267752.617775,60096.87926213881,0.0,0.0
39894.613605,368.67,42.0093,501.042,12.0072,7106267737.863954,60029.12495989901,0.0,0.0
39896.704883,370.392,42.0139,501.062,12.0072,7106267750.168898,60067.161049373186,0.0,0.0
39898.816092,375.462,42.0128,501.068,12.0077,7106267695.646158,60035.90005959613,0.0,0.0
39900.917233,378.827,42.016,501.112,12.0073,7106267744.523098,60082.53337180549,0.0,0.0
39903.188658,377.043,42.0155,501.148,12.008,7106267799.409074,60093.79982307747,0.0,0.0
39905.290031,383.893,42.0128,501.161,12.0076,7106267791.791017,60088.38677962827,0.0,0.0
39907.391496,387.405,42.0133,501.187,12.0079,7106267718.578906,60062.87625471337,0.0,0.0
39909.492394,392.483,42.0133,501.268,12.0071,7106267709.63866,60037.92359945102,0.0,0.0
39911.603291,382.891,42.0148,501.43,12.0063,7106267728.49858,60084.68943997481,0.0,0.0
39913.704029,379.798,42.0148,501.509,12.007,7106267807.809583,60112.628078007794,0.0,0.0
39915.795004,375.328,42.018,501.611,12.007,7106267739.230073,60058.457197405805,0.0,0.0
39917.896228,370.407,42.0148,501.65,12.0052,7106267727.376924,59989.71557367358,0.0,0.0
39919.997456,366.46,42.0164,501.715,12.0074,7106267733.816382,60076.92546295688,0.0,0.0
39922.098381,353.19,42.016,501.754,12.0065,7106267755.07649,60052.569904087206,0.0,0.0
39924.369342,361.574,42.0124,501.766,12.0048,7106267762.650198,60096.187947847895,0.0,0.0
39926.460665,361.543,42.0155,501.683,12.0063,7106267760.060954,60060.18639573487,0.0,0.0
39928.561956,366.684,42.0133,501.626,12.0035,7106267752.743964,60052.62348326154,0.0,0.0
39930.663029,368.995,42.016,501.629,12.0039,7106267763.793608,60050.540418580254,0.0,0.0
39932.75428,372.681,42.0128,501.643,12.0033,7106267772.322261,60136.30098356021,0.0,0.0
39934.855306,375.398,42.0144,501.704,12.0029,7106267749.005794,60054.709841320255,0.0,0.0
39936.956571,377.751,42.0133,501.741,12.0001,7106267673.686694,60080.196733102755,0.0,0.0
39939.057303,383.747,42.0155,501.819,12.0013,7106267729.310142,60063.42575675907,0.0,0.0
39941.158686,292.957,42.0118,501.873,12.0019,7106267683.070843,60055.59138012128,0.0,0.0
39943.250183,285.07,42.0124,501.936,12.0,7106267724.637185,60072.29810101693,0.0,0.0
39945.531496,286.389,42.0097,501.958,11.9996,7106267787.575426,60041.23863727561,0.0,0.0
39947.622954,289.562,42.007,501.961,11.9999,7106267776.2654295,60064.90400022585,0.0,0.0
